word	Stance_favor	Stance_against
://twitter.com/akhtars/status//video/	-0.026494072750210762	5.922754280618392e-05
…	-1.955024345079437e-05	3.6513614759314805e-05
bhai	-2.1415248738776427e-06	0.0001329183578491211
bhale	2.3560494355479022e-07	-7.748603820800781e-06
yeh	-2.2427570911531802e-09	7.903575897216797e-05
ek	-4.4278277755438467e-07	1.4424324035644531e-05
desh	-1.5643661754438654e-05	0.0010839104652404785
k	-5.031396085541928e-06	5.4836273193359375e-05
liye	9.156909186458506e-08	-3.2186508178710938e-06
acchi	3.8917693245821283e-07	0.00030922889709472656
baat	-3.9744441892253235e-05	0.11301779747009277
hogi	-4.096953034604667e-07	2.1457672119140625e-05
bt	-0.008558119647204876	0.6308896541595459
yahan	-3.064341740355303e-07	0.0017434358596801758
yeh	-1.8935827483801404e-06	0.045648932456970215
galat	-1.796293418010464e-06	5.042552947998047e-05
intension	-1.986914867302403e-06	5.6862831115722656e-05
se	5.80227492719132e-08	0.0002060532569885254
ki	-2.0387648191899643e-07	9.5367431640625e-06
gai	-1.3971689440950286e-06	0.8010698556900024
hai...	-0.00027238138136453927	0.044966280460357666
notebandi	7.737157581289011e-10	3.814697265625e-06
ke	-5.7135070008484945e-09	1.1920928955078125e-07
karan	-0.00016638835950288922	0.0004621744155883789
bachchon	-9.935196430888027e-06	0.7823969125747681
ki	-5.771799749254569e-08	1.1920928955078125e-07
maute	-2.0459505378767062e-07	2.384185791015625e-07
ho	-4.814529347640928e-06	5.936622619628906e-05
rhi	-0.02557387202978134	0.025746524333953857
hn	-3.1412632495175785e-08	0.0
notebandi	2.769392324353248e-07	-2.240353236260262e-09
ke	2.433937709156453e-07	1.4360044264805083e-09
karan	-6.75253522786079e-06	-5.394007530412637e-06
ho	-1.3851432640876737e-06	-2.4605837367630556e-08
rhi	-8.180431905202568e-06	-7.60929808052424e-09
bachchon	-4.034232915728353e-05	-2.1792168070078333e-09
ki	-7.306304041776457e-07	2.3390638315134993e-09
mauto	2.896090336435009e-07	4.3121013426628e-09
ka,bujurgo	2.475993596817716e-07	-5.245410861220989e-08
aur	-6.552423315042688e-08	-1.6242544234046363e-06
divyango	2.6182090095971944e-07	4.375289908153945e-09
ko	-1.5960722521413118e-08	-1.4114036162027332e-08
ho	2.7635653054858267e-07	4.737750192163048e-09
rhi	2.8305120736149547e-07	4.7277088910391285e-09
aafato	-1.4080045502851135e-06	-6.484638674919552e-07
ka	-4.849538981943624e-06	-1.1533438026845033e-07
jimmedar	-9.894923778119846e-07	-1.205206672239001e-07
h:	3.1047665061123553e-07	4.415190435480554e-09
jai	2.887007042318146e-07	4.726797175891306e-09
modi	2.8493153081399214e-07	-2.3144124838836433e-08
notebandi	-1.7022716747305822e-06	1.9073486328125e-06
flop	-1.6710324416635558e-05	1.6689300537109375e-05
